circuit name,GBW, Gain, Pdiss, Fitness, time, performance weight, solution vector, solution path
SMC,50599800.0,85.3427,0.0061708,-9.913807329406797,2025-0521-122845,"[1, 1, 1]","[8.86416819e-04 7.21094550e-07 3.28282075e-04 1.27475338e-06
 2.71249240e-05 1.39126588e-06 5.06906945e-04 5.00751500e-07
 7.51838566e-04 1.99127496e-06 2.01333920e-12]",./circuit_database/SMC/result_folder/2025-0521-122845
SMC,50251300.0,85.4582,0.00609129,-9.9164380251228,2025-0521-122854,"[1, 1, 1]","[8.81371153e-04 7.28751278e-07 3.27875964e-04 1.29567141e-06
 2.77749915e-05 1.44255513e-06 5.04541649e-04 5.02658512e-07
 7.52817796e-04 1.97291819e-06 2.01243963e-12]",./circuit_database/SMC/result_folder/2025-0521-122854
SMC,50967300.0,85.1349,0.00618339,-9.916064988115437,2025-0521-122854,"[1, 1, 1]","[8.98923691e-04 7.33093639e-07 3.11909265e-04 1.27153229e-06
 2.69210420e-05 1.40850154e-06 4.88817869e-04 5.03556544e-07
 7.49889972e-04 1.97844267e-06 1.96234058e-12]",./circuit_database/SMC/result_folder/2025-0521-122854
SMC,45606100.0,85.337,0.00605923,-9.87660549716193,2025-0521-122854,"[1, 1, 1]","[8.82078439e-04 7.32949949e-07 3.39117141e-04 1.34639663e-06
 2.49702012e-05 1.44838878e-06 4.90534851e-04 5.12955682e-07
 7.52944513e-04 1.99778952e-06 1.99026263e-12]",./circuit_database/SMC/result_folder/2025-0521-122854
SMC,51807900.0,85.2998,0.00620211,-9.921856524222674,2025-0521-122902,"[1, 1, 1]","[8.95879300e-04 7.26988938e-07 3.22661025e-04 1.31601977e-06
 2.80394039e-05 1.41740792e-06 4.95566397e-04 5.03727917e-07
 7.50840046e-04 1.98633765e-06 1.99658063e-12]",./circuit_database/SMC/result_folder/2025-0521-122902
SMC,51762600.0,85.3673,0.00618572,-9.922625824988604,2025-0521-122911,"[1, 1, 1]","[8.93682228e-04 7.27346923e-07 3.20765365e-04 1.32754108e-06
 2.82270526e-05 1.41832440e-06 4.95353987e-04 5.02196627e-07
 7.48539200e-04 1.99279375e-06 2.00669421e-12]",./circuit_database/SMC/result_folder/2025-0521-122911
SMC,158205000.0,52.0493,0.00645397,-7.238466137265678,2025-0521-124358,"[1, 0, -1]","[9.71412237e-04 1.59920833e-06 5.62770611e-05 1.60515317e-06
 6.00650027e-04 5.53480178e-07 7.33192298e-04 6.84338387e-07
 3.94670851e-05 1.28162889e-06 2.70552033e-12]",./circuit_database/SMC/result_folder/2025-0521-124358
SMC,11178800.0,98.1348,0.000481822,-5.078734013167842,2025-0521-125702,"[0, -1, 1]","[1.06074610e-04 1.37348362e-06 2.91332341e-04 1.74239456e-06
 6.78490526e-06 1.18181709e-06 8.21659415e-04 5.57840394e-07
 4.87969264e-06 1.06929581e-06 2.86991358e-12]",./circuit_database/SMC/result_folder/2025-0521-125702
SMC,8474830.0,98.6249,0.000416228,-5.072068285636572,2025-0521-125728,"[0, -1, 1]","[9.14337359e-05 1.35535145e-06 2.78310762e-04 1.78877281e-06
 5.42349622e-06 1.31803871e-06 8.48556151e-04 5.34498351e-07
 1.65620729e-05 1.06811723e-06 2.82998541e-12]",./circuit_database/SMC/result_folder/2025-0521-125728
SMC,11377300.0,98.5203,0.000503,-5.055939849822063,2025-0521-125746,"[0, -1, 1]","[1.11349285e-04 1.37772876e-06 2.76500673e-04 1.74750241e-06
 6.94505092e-06 1.18585113e-06 8.18717892e-04 5.55202960e-07
 1.62864187e-05 1.05367113e-06 2.87024042e-12]",./circuit_database/SMC/result_folder/2025-0521-125746
